Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,88.349998,91.790001,88.330002,90.510002,88.982880,1686100
2022-04-19,90.820000,92.150002,89.169998,91.980003,90.428070,2125000
2022-04-20,91.760002,93.160004,90.440002,91.489998,89.946335,1859500
2022-04-21,93.360001,100.370003,92.370003,93.239998,91.666817,4200100
2022-04-22,93.389999,95.879997,89.029999,89.610001,88.098061,2645500
2022-04-25,87.000000,90.139999,84.730003,89.330002,87.822784,2766600
2022-04-26,88.889999,89.870003,87.389999,87.540001,86.062996,2182700
2022-04-27,90.110001,90.400002,87.360001,88.120003,86.633202,2442900
2022-04-28,88.660004,89.949997,86.489998,89.650002,88.137383,2572800
2022-04-29,89.930000,91.849998,85.389999,85.750000,84.303192,2544000
2022-05-02,85.260002,85.589996,80.629997,83.629997,82.218956,3195000
2022-05-03,83.540001,86.680000,82.110001,86.360001,84.902901,2520400
2022-05-04,86.410004,89.529999,83.849998,89.510002,87.999748,2301200
2022-05-05,88.870003,89.730003,80.500000,81.410004,80.036423,2777600
2022-05-06,81.010002,81.260002,77.540001,79.660004,78.315941,2459000
2022-05-09,77.599998,78.980003,76.080002,77.220001,75.917114,3183900
2022-05-10,78.400002,78.930000,75.849998,77.050003,75.749977,2437200
2022-05-11,77.529999,79.080002,75.099998,75.370003,74.098328,2028700
2022-05-12,73.910004,76.769997,73.320000,74.739998,73.478951,2197500
2022-05-13,75.699997,77.930000,73.879997,74.129997,72.879242,2355800
2022-05-16,75.220001,76.419998,73.449997,75.110001,73.842705,2013600
2022-05-17,77.389999,78.620003,76.099998,78.449997,77.126350,2128100
2022-05-18,77.290001,78.449997,75.440002,75.889999,74.609550,2221400
2022-05-19,75.620003,77.349998,74.690002,75.750000,74.471909,2066300
2022-05-20,77.080002,77.910004,74.180000,75.910004,74.629219,2356900
2022-05-23,77.709999,78.940002,76.040001,78.129997,76.811752,1517300
2022-05-24,76.559998,78.559998,76.050003,78.099998,76.782265,1657800
2022-05-25,76.879997,81.040001,76.080002,80.639999,79.279404,2063400
2022-05-26,80.650002,84.889999,80.650002,84.389999,82.966141,1495400
2022-05-27,84.860001,87.959999,84.809998,87.790001,86.308769,1675600
2022-05-31,85.620003,87.220001,83.800003,85.379997,83.939430,5473500
2022-06-01,85.180000,85.809998,81.550003,83.970001,82.553223,2425200
2022-06-02,85.260002,86.940002,83.820000,84.980003,83.546188,1418900
2022-06-03,83.949997,84.540001,82.769997,82.940002,81.540611,1382700
2022-06-06,83.889999,83.910004,81.940002,82.360001,80.970390,1355600
2022-06-07,82.010002,85.949997,81.930000,85.820000,84.372009,1601600
2022-06-08,84.080002,85.519997,80.550003,81.349998,79.977425,1816600
2022-06-09,80.830002,80.940002,76.690002,76.790001,75.494362,2173600
2022-06-10,75.000000,76.480003,74.050003,74.129997,72.879242,1657800
2022-06-13,71.559998,72.059998,69.370003,70.580002,69.389145,2300000
2022-06-14,70.510002,71.980003,69.610001,71.019997,69.821716,1939600
2022-06-15,72.430000,74.750000,70.769997,72.050003,70.834343,2770000
2022-06-16,70.320000,72.059998,69.220001,69.870003,68.691124,3019700
2022-06-17,71.199997,72.699997,69.440002,71.860001,70.647545,7480100
2022-06-21,74.019997,75.190002,70.570000,70.730003,69.536613,2630700
2022-06-22,68.070000,68.860001,66.930000,67.400002,66.262810,2194800
2022-06-23,67.809998,68.040001,64.379997,65.980003,64.866760,1844000
2022-06-24,67.089996,69.110001,66.500000,68.889999,67.727654,2643400
2022-06-27,70.000000,70.620003,68.330002,69.290001,68.120903,1309900
2022-06-28,69.669998,70.440002,67.040001,67.360001,66.223473,1639600
2022-06-29,67.300003,68.000000,65.440002,66.830002,66.035736,1288700
